president,start_date,end_date,approval,disapproval,unsure,source_url
George W. Bush,07/19/2004,07/21/2004,49.0,47.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/08/2004,07/11/2004,47.0,49.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/21/2004,06/23/2004,48.0,49.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/03/2004,06/06/2004,49.0,49.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/21/2004,05/23/2004,47.0,49.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/07/2004,05/09/2004,46.0,51.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/02/2004,05/04/2004,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/16/2004,04/18/2004,52.0,45.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,04/05/2004,04/08/2004,52.0,45.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/26/2004,03/28/2004,53.0,44.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/08/2004,03/11/2004,50.0,47.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,03/05/2004,03/07/2004,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/16/2004,2/17/2004,51.0,46.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/9/2004,2/12/2004,51.0,46.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,2/6/2004,2/8/2004,52.0,44.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,01/29/2004,02/01/2004,49.0,48.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/12/2004,1/15/2004,53.0,44.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/9/2004,1/11/2004,59.0,38.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,1/2/2004,1/5/2004,60.0,35.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/15/2003,12/16/2003,63.0,34.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/11/2003,12/14/2003,56.0,41.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,12/05/2003,12/07/2003,55.0,43.0,2,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/14/2003,11/16/2003,50.0,47.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/10/2003,11/12/2003,51.0,45.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,11/03/2003,11/05/2003,54.0,43.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/24/2003,10/26/2003,53.0,42.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/10/2003,10/12/2003,56.0,40.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,10/06/2003,10/08/2003,55.0,42.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/19/2003,09/21/2003,50.0,47.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,09/08/2003,09/10/2003,52.0,43.0,5,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/25/2003,08/26/2003,59.0,37.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,08/04/2003,08/06/2003,60.0,36.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/25/2003,07/27/2003,58.0,38.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/18/2003,07/20/2003,59.0,38.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,07/07/2003,07/09/2003,62.0,34.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/27/2003,06/29/2003,61.0,36.0,3,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/12/2003,06/15/2003,63.0,33.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,06/09/2003,06/10/2003,62.0,34.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/30/2003,06/01/2003,64.0,32.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
George W. Bush,05/19/2003,05/21/2003,66.0,30.0,4,https://www.presidency.ucsb.edu/statistics/data/george-w-bush-public-approval
