cycle,state_abbrev,candidate_name,politician_id,wikidata_qid,match_status,match_score,wikidata_label,wikidata_description,state_local_quality_tier,prior_eligible_offices,undated_eligible_offices_review,wikipedia_fallback
2018,MS,Roger F. Wicker,1001,Q390491,MATCHED,9,Roger Wicker,American lawyer and politician (born 1951),2,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2007-12-31,2009-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,Roger Wicker | https://en.wikipedia.org/wiki/Roger_Wicker | tier2:state senator:1988; tier2:state senate:1987; tier2:house of representatives:1994
2018,MT,Jon Tester,1002,Q529351,MATCHED,23,Jon Tester,American politician and farmer (born 1956),2,"federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2007-01-03,2009-01-03] | state_legislative:member of the State Senate of Montana[1999-01-04,2007-01-03]",,
2018,MT,Matt Rosendale,3291,Q6791163,MATCHED,23,Matt Rosendale,American politician (born 1960),3,,state_legislative:member of the Montana House of Representatives | state_legislative:member of the Montana House of Representatives | state_legislative:member of the Montana House of Representatives | state_legislative:member of the Montana House of Representatives,Matt Rosendale | https://en.wikipedia.org/wiki/Matt_Rosendale | tier2:house of representatives:2011; tier3:state auditor:2016; tier2:house of representatives:2014
2018,ND,Heidi Heitkamp,1005,Q50597,MATCHED,25,Heidi Heitkamp,former United States Senator from North Dakota,3,"federal:United States senator[2017-01-03,2019-01-03] | statewide:North Dakota Attorney General[1992-12-15,2000-12-15] | federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2015-01-03,2017-01-03]",,
2018,ND,Kevin Cramer,3110,Q3957020,MATCHED,23,Kevin Cramer,American politician (born 1961),0,,,Kevin Cramer | https://en.wikipedia.org/wiki/Kevin_Cramer | 
2018,NE,Jane Raybould,8552,Q52274495,MATCHED,23,Jane Raybould,politician,3,,,Jane Raybould | https://en.wikipedia.org/wiki/Jane_Raybould | tier1:county commissioner:2010; tier3:lieutenant governor:2014
2018,NE,Deb Fischer,1007,Q2580649,MATCHED,23,Deb Fischer,American politician (born 1951),2,"federal:United States senator[2017-01-03,2019-01-03] | state_legislative:member of the Nebraska House of Representatives[2005-01-01,2012-01-01] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2018,NJ,Bob Menendez,1012,Q888132,MATCHED,23,Bob Menendez,American lawyer and politician (born 1954),2,"federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03] | state_legislative:Member of the State Senate of New Jersey[1991-03-04,1993-01-03] | federal:United States senator[2007-01-03,2009-01-03] | federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2011-01-03,2013-01-03] | state_legislative:Member of the New Jersey General Assembly[1988-01-12,1991-03-04] | local:Mayor of Union City, New Jersey[1986-05-20,1992-11-15] | federal:United States senator[2009-01-03,2011-01-03] | federal:United States senator[2006-01-17,2007-01-03]",,
2018,NJ,Bob Hugin,8553,Q18390696,MATCHED,23,Bob Hugin,American businessman and politician,0,,,NO_MATCH
2018,NM,Martin Heinrich,707,Q565374,MATCHED,23,Martin Heinrich,American politician and businessman (born 1971),0,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,NO_MATCH
2018,NM,Mick Rich,8556,Q55081031,MATCHED,19,Mick Rich,,0,,,NO_MATCH
2018,NV,Jacky S. Rosen,8322,Q27825033,MATCHED,9,Jacky Rosen,American politician (born 1957),0,,,NO_MATCH
2018,NV,Dean Heller,1021,Q251763,MATCHED,23,Dean Heller,American politician,3,"federal:United States senator[2017-01-03,2019-01-03] | federal:United States senator[2011-05-09,2013-01-03] | statewide:Secretary of State of Nevada[1995-01-01,2007-01-01] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2013-01-03,2015-01-03]",,
2018,NY,Kirsten E. Gillibrand,748,Q22222,MATCHED,9,Kirsten Gillibrand,American politician (born 1966),0,"federal:United States senator[2013-01-03,2015-01-03] | federal:United States senator[2011-01-03,2013-01-03] | federal:United States senator[2009-01-26,2011-01-03] | federal:United States senator[2015-01-03,2017-01-03] | federal:United States senator[2017-01-03,2019-01-03]",,NO_MATCH
2018,NY,Chele Farley,8584,,NO_CONFIDENT_MATCH,0,,,0,,,NO_MATCH
