race_id,cycle,state_abbrev,seat,recent_pres_year,older_pres_year,lean_recent_pctpt,lean_older_pctpt,pvi_default_067_033_pctpt
6281,2020,MN,Class II,2016,2012,-0.39272137,4.06068745,1.07690354
6282,2020,MS,Class II,2016,2012,-20.23580343,-15.42556387,-18.64842437
6283,2020,MT,Class II,2016,2012,-24.27543742,-17.89022920,-22.16831870
6284,2020,NC,Class II,2016,2012,-5.86360039,-5.88983528,-5.87225790
6285,2020,NE,Class II,2016,2012,-29.15145701,-26.08054601,-28.13805638
6286,2020,NH,Class II,2016,2012,-1.66205190,1.84573849,-0.50448107
6287,2020,NJ,Class II,2016,2012,12.51227150,14.08216563,13.03033657
6288,2020,NM,Class II,2016,2012,7.24548109,6.76864382,7.08812479
6289,2020,OK,Class II,2016,2012,-40.66558326,-37.36640496,-39.57685442
6290,2020,OR,Class II,2016,2012,10.25556911,8.72056889,9.74901904
6291,2020,RI,Class II,2016,2012,14.58954065,24.21172649,17.76486198
6292,2020,SC,Class II,2016,2012,-16.97662150,-14.43827488,-16.13896712
6293,2020,SD,Class II,2016,2012,-33.99982494,-22.25876375,-30.12527475
6294,2020,TN,Class II,2016,2012,-29.30479487,-24.52390852,-27.72710238
6295,2020,TX,Class II,2016,2012,-11.48255994,-19.83755990,-14.23970993
6296,2020,VA,Class II,2016,2012,3.59664377,0.11298791,2.44703734
6297,2020,WV,Class II,2016,2012,-46.37821328,-31.17036074,-41.35962194
6298,2020,WY,Class II,2016,2012,-53.46674804,-46.14303349,-51.04992224
8918,2022,AK,Class III,2020,2016,-14.94118978,-18.82741820,-16.22364516
8917,2022,AL,Class III,2020,2016,-30.24024200,-30.80439597,-30.42641281
8920,2022,AR,Class III,2020,2016,-32.84235889,-30.62638416,-32.11108723
8919,2022,AZ,Class III,2020,2016,-4.10382897,-5.83615558,-4.67549675
8921,2022,CA,Class III,2020,2016,25.40033039,30.20031281,26.98432459
9480,2022,CA,Class III,2020,2016,25.40033039,30.20031281,26.98432459
8922,2022,CO,Class III,2020,2016,9.45914666,3.31055796,7.43011239
8923,2022,CT,Class III,2020,2016,15.97260585,12.22698625,14.73655138
8924,2022,FL,Class III,2020,2016,-7.80700165,-3.29377973,-6.31763842
8925,2022,GA,Class III,2020,2016,-4.17883300,-7.37845398,-5.23470793
8926,2022,HI,Class III,2020,2016,25.64783696,32.82656612,28.01681759
8930,2022,IA,Class III,2020,2016,-12.78401850,-12.18320447,-12.58574987
8927,2022,ID,Class III,2020,2016,-36.17177818,-38.67646214,-36.99832389
8928,2022,IL,Class III,2020,2016,12.90059514,15.98399400,13.91811676
8929,2022,IN,Class III,2020,2016,-20.80758834,-22.29072783,-21.29702437
8931,2022,KS,Class III,2020,2016,-19.40434884,-24.27904947,-21.01300005
8932,2022,KY,Class III,2020,2016,-30.81769813,-33.39736682,-31.66898880
8935,2022,MD,Class III,2020,2016,29.64060176,25.97639059,28.43141208
8936,2022,MO,Class III,2020,2016,-20.08913362,-21.69323077,-20.61848568
8940,2022,NC,Class III,2020,2016,-5.78589364,-5.86360039,-5.81153686
8941,2022,ND,Class III,2020,2016,-38.85230918,-41.67459457,-39.78366336
8938,2022,NH,Class III,2020,2016,3.08025937,-1.66205190,1.51529665
8937,2022,NV,Class III,2020,2016,-1.97125765,0.53131006,-1.14541031
8939,2022,NY,Class III,2020,2016,19.01617746,21.48877359,19.83213418
8942,2022,OH,Class III,2020,2016,-12.57088762,-10.59147794,-11.91768243
